idx,title,text,alias
1,感冒,因时令外邪侵袭肺表所致。临床以发热、恶寒，头身疼痛，鼻塞、喷嚏，咽喉痛痒，咳嗽等为特征的外感时病。注： 轻者称伤风。具有一定流行性者为时行感冒。,
2,时行感冒,因时行邪毒侵袭肺卫所致。临床以骤然发热，可伴见恶寒，或微恶风寒，咽喉充血肿痛，头痛，全身肌肉或骨节酸痛等为特征，流行于四时而以冬春更为常见的感冒。,
3,少阳病,因气血虚弱，外邪与正气相搏于少阳所致。临床以往来寒热，口苦、咽干等为特征的伤寒病。,
4,损伤眩晕,因各种创伤或外力作用于人体，失血过多，或清阳不升所致。临床以外伤后头晕、目眩等为特征的损伤内证病。,
5,不寐,因忧思劳神，营卫失和，心虚胆怯，或肝郁化火，胃气不和，痰火扰心，或年老久病，心脾两虚，阴虚阳亢，心肾不交所致。临床以经常不能获得正常睡眠，或不易入睡，睡眠短浅易醒，甚则彻夜不眠，白天困乏，精力不济，可伴见头晕、耳鸣，健忘等为特征的神志病。,"不寐, 少寐"
6,呃逆,因进食生冷、辛辣，或情志郁怒等因素刺激，膈间之气不利，引动胃气上冲喉间所致。临床以呃呃有声，声音短促，持续不能自制，或伴见胃脘不适等为特征的脾系病。,
7,噎膈,因忧思不解，痰气凝结，以及火郁或血瘀、津枯、癌毒等致使食道梗阻所致。临床以吞咽不顺，食入即吐，或饮食梗阻不下等为特征的脾系病。,
8,卒腹痛,因外感六淫，食物中毒，或虫、食、石、粪邪痹阻肠胃，气血瘀闭所致。临床以突发腹部剧痛、绞痛，难以忍受，持续加重等为特征的脾系病重症。,
9,气腹痛,因饮食不慎、感受寒邪、情志刺激等，使胃肠气机阻滞所致。临床以突起阵发性腹痛，检查无形质改变等为特征的脾系病。,
10,咳嗽病,泛指因六淫外邪袭肺，或有害气体刺激，或由脏腑内伤，肺脾气虚，痰饮停肺，肝火犯肺，或久病气阴两亏等，致使肺失清肃宣降，肺气上逆，以咳嗽、咯痰为特征的一类肺系病。注： 包括外感咳嗽、内伤咳嗽。,
11,外感咳嗽,因六淫之邪犯肺，或温邪上受，肺卫失宣，肺气上逆所致。临床以起病较急，咳声急迫，或咳而不爽，或干咳、少痰，痰白或黄，可伴见发热、头痛，鼻塞、流涕，咽红、口干，喉痒或痛等为特征的急性外感肺系病。,
12,内伤咳嗽,因久咳伤肺，肺虚气弱，或由脏腑内伤，脾失健运，痰湿中阻，或肝火乘肺，或肾虚水泛，气阴两虚等所致。临床以咳嗽时轻时重，时作时止，咳痰或多或少，可伴见疲倦乏力，容易感冒，胸闷、喘促，胁肋疼痛，咯唾痰血，面目浮肿等为特征的慢性内伤肺系病。,
13,郁病,因长期情志不遂，或性格内向、偏颇，致使气机郁滞，不得发越，初病在肝，及于心脾，久则郁损成劳所致。临床以抑郁寡欢，情绪不宁，善悲易怒，焦虑多疑，强迫自责，兴趣索然，情感淡漠，甚则有消极避世，自虐、自杀意念，伴见胸胁痞满、胀痛，纳差不食，虚烦、失眠，健忘，消瘦等为特征的情志病。注： 包括梅核气、肠郁、经行情志异常等。,
14,虚损病,因秉质虚怯，或大病、久病、产后、手术后等失血过多，或年老体弱等，致使气血、阴阳、脏腑耗损所致。临床以面色无华，倦怠乏力，不耐劳烦，动辄气短，头晕、眼花，或伴见食欲不振，腹胀，便溏，心悸，健忘，遗精滑泄，月经不调，自汗或盗汗，五心烦热，或形寒、肢冷等为特征的虚劳病。,
15,水肿类病,泛指因外邪侵袭，或劳倦内伤，或饮食失调，致使气化不利，水液潴留，或泛滥肌肤而引起的一类疾病。注： 包括阳水、阴水、风水、皮水、石水、正水等。,
16,自汗,因营卫不和，或正气外越等，导致腠理不固，阴津外泄所致。临床以非劳累、炎热、衣着过暖或服用发汗药等因素而时时汗出，动辄益甚为特征的汗病。,
17,盗汗,因阴血不足，阳不恋阴，或湿热氤氲，腠理开泄所致。临床以睡时汗出，醒后汗止为特征的汗病。,
18,中消,因中焦燥热，胃阴耗损所致。临床以善饥多食，形体消瘦，口渴、多饮，大便秘结等为特征的消渴病。,"消中, 痟中, 消脾, 胃消"
19,外感头痛,因感受风、寒、暑、湿等时邪，循经入络，或温热疫毒等邪侵袭，逆乱气血，上犯巅顶，脉络拘急所致。临床以突发头痛，可表现为掣痛、跳痛、劈痛、灼痛、冷痛、重痛等，痛无休止，伴见外感相应证候等为特征的头风病。注： 包括风寒头痛、风热头痛、风湿头痛、伤暑头痛、太阳头痛、阳明头痛、少阳头痛、太阴头痛、少阴头痛、厥阴头痛等。,
20,内伤头痛,因气血亏虚，脏腑虚损，或五志化火，痰饮、瘀血等内邪上扰清空，经气逆乱、脉络拘急所致。临床以头痛时作时止，痛势较缓，多表现为隐痛、胀痛、晕痛、刺痛等，遇情志刺激，或劳累、行经、受风则易发，可伴见脏腑气血不足或内生诸邪等相应征象为特征的头风病。注： 包括气虚头痛、血虚头痛、阴虚头痛、阳虚头痛、肾虚头痛及瘀血头痛、痰湿头痛、肝阳头痛等。,
21,厥头痛,因风阳上窜，气血上逆，扰乱清空所致。临床以突发剧烈头痛，连及脑户，手足逆冷，恶心、呕吐，烦躁，血压显著增高，或伴见一过性黑矇，偏瘫，意识模糊等为特征的头风病。,
22,瘿肿,因老年气虚，或肝失条达，气滞血瘀，或脾失运化，痰浊内生，痰气、血瘀凝聚于颈部所致。临床以颈前漫肿，质地韧硬，颈前喉间可触及结节等为特征的瘿病。,
23,痛痹,因寒邪为主侵袭人体肢节所致。临床以所侵犯关节冷痛、固定不移，得热则舒等为特征的肢体痹病。,
24,痤疮,因肺经风热、肠胃湿热或脾失健运等所致。临床以颜面、胸背部毛孔明显扩大，内含黑点样物质为特征的粉刺。,
33,初生儿呕吐,因先天不足，或初生护养不当，受寒、积热等所致。临床以初生儿于哺乳后呕吐乳食等为特征的新生儿病。,
34,鹅口疮,因胎禀不足，感受秽毒，或心脾积热，上熏口舌所致。临床以口腔、舌上出现点片状白屑，状如鹅口等为特征的新生儿及婴儿病。,
35,小儿感冒,因风寒邪热等外袭，或时疫邪毒侵袭肺卫所致。临床以发热、恶寒，鼻塞、流涕，咽痒、咳嗽，甚或伴见高热、咽喉肿痛等为特征的小儿时令病。,
36,小儿咳嗽,因秉质虚弱，寒温不调，风寒湿热等邪袭肺，或饮食所伤，脾虚痰阻，肺失宣肃所致。临床以咳嗽、咯痰阵作，多继发于感冒之后，常因气候变化而发生或加重，甚或转为肺炎喘嗽等为特征的小儿肺系病。,
37,积滞,因喂养不当，乳食内积，或饮食失节，食滞脾胃所致。临床以小儿脘腹胀满、疼痛，伴见呕吐，嗳腐、吐酸，腹泻或便秘，久则睡眠不安，磨牙、齘齿，吮指嗜异等为特征的小儿脾系病。注： 有新积、久积之分。新积为伤食、食积，积久则成疳。,
38,小儿呕吐,因饮食不当，乳哺过多，停滞于中脘，或寒温失调，胃气上逆所致。临床以小儿食入之后，乳食或痰涎等从食道上涌，自口而出等为特征的小儿脾系病。,
39,小儿泄泻,因感受外邪，或内伤饮食、七情，致使脾胃虚弱，脾失运化所致。临床以大便次数增多，粪质稀薄或如水样，可伴见腹痛，口渴，皮肤黏膜干燥，尿量减少等为特征的小儿脾系病。,
40,小儿咳嗽,因秉质虚弱，寒温不调，风寒湿热等邪袭肺，或饮食所伤，脾虚痰阻，肺失宣肃所致。临床以咳嗽、咯痰阵作，多继发于感冒之后，常因气候变化而发生或加重，甚或转为肺炎喘嗽等为特征的小儿肺系病。,
41,小儿腹痛,因感受风冷寒邪，或过食生冷，寒凝气滞，或乳食不节，饱食损伤脾胃，壅阻肠胃气机所致。临床以腹痛曲腰，腹软喜按，得热痛减，汗出、面青，哭闹、不乳，或腹部绞痛，腹胀拒按，伴见吐乳酸馊，大便腐臭等为特征的小儿脾系病。,
42,小儿水肿病,因小儿感受风热、风寒邪毒，或乳蛾、丹痧、疮疡病后，加之先天不足，内外合邪，气化不利，致使水液潴留，泛滥肌肤所致。临床以眼睑、头面、四肢或全身浮肿等为特征的小儿肾系病。,
43,小儿紫癜,因禀质不耐，或食物、药物等过敏，血热邪毒伤损血络，或阴虚火旺、脾不统血，血溢于脉外所致。临床以小儿的皮肤黏膜出现鲜红色出血点或紫色瘀点、瘀斑等为特征的小儿血溢病。,
44,小儿口疮,因心火上炎，熏蒸于口所致。临床以小儿口腔内的唇、舌、颊及上腭等处黏膜见单个或多个淡黄色、灰白色溃烂点，灼痛碍食等为特征的反复发作性小儿疮疡病。,
45,燕口疮,因感受外邪，或心脾积热，或虚火上炎所致。临床以小儿口角两侧唇边出现溃疡或糜烂等为特征的小儿口疮病。,
46,耳眩晕,因邪犯内耳，或脏腑虚弱，内耳失养，或痰浊水湿停滞内耳所致。临床以头晕、目眩，耳鸣，恶心、呕吐等为特征的耳病。,
47,鼻渊,因外邪侵袭，或脏腑蕴热，蒸灼鼻窍，或因脏腑虚损，邪留鼻窦所致。临床以鼻流浊涕，量多不止，鼻塞，嗅觉减退，或鼻道有脓，可伴见头晕胀闷等为特征的鼻病。,
48,头痛,临床以患者自觉头部疼痛为特征的症状。多因风寒湿热等邪侵袭，或情志所伤，风阳火毒上扰，痰浊瘀血阻滞，致经气不利，气血逆乱，或气血营精亏虚，清阳不升，脑失所养等所致。注： 常见于头风病、偏头风、面风痛、脑络痹、脑瘤及眼、口、鼻病，各种外感病或其他全身性疾病等。,
49,眩晕,临床以自觉头晕眼花，视物旋转动摇的症状。多因气血营精不能上荣于头，或因风阳、火热上扰，痰浊、瘀血阻滞，清阳被遏等所致。注： 常见于风眩、脑络痹、虚眩、耳眩晕、子眩、子痫、产后血晕、晕动病、脑萎、神劳等疾病，或头部内伤、项痹、某些药物中毒、脑瘤及眼耳鼻病等。,
50,耳鸣,临床以无相应声源时自觉耳中或头颅有鸣响声为特征的症状。多因阴血亏虚，或肾精不足、中气下陷，耳窍失养，以及风阳痰火上扰，风邪上乘或药毒犯耳等所致。注： 常见于耳部疾病及脑络痹、风眩、神劳病、高原胸痹、中毒等全身性疾病。,
51,咳嗽,临床以从肺经喉发出“咳、咳”有声为特征的症状。多因六淫外邪袭肺，或有害气体刺激，痰饮停肺，气阴亏虚等致使肺失清肃，肺气上逆所致。注： 常见于外感病、肺系病，以及其他脏腑疾病影响到肺的疾病。,
52,心悸,临床以自觉心搏异常跳动，心慌不安，或时作时止等为特征的症状。多因气虚血弱，心失所养，或因情绪刺激、外邪直中心络，或痰饮、瘀血等痹阻心脉所致。注： 常见于心痹、心瘅等心系病，以及肺系病、情志病、虚劳、瘿病等。,
53,呕吐,临床以胃内容物从口中吐出，或恶心作哕等为特征的症状。多因外感或内伤，以及头部损伤、妊娠、药物中毒等各种原因引起胃失和降、胃气上逆所致。注： 常见于胃肠及肝胆胰疾病，晕动病、恶阻、颅内病变、厥脱病、药物中毒等。,
54,腹痛,临床以胃脘与季肋以下，耻骨毛际以上的腹部自觉疼痛，或切按则痛等为特征的症状，有心下痛、胁腹痛、脐腹痛、小腹痛、少腹痛之分。多因外感六淫及虫、食、石、粪等内外损伤，痹阻脏腑气血，或气血亏虚等所导致的各种急慢性病变。,
55,水肿,临床以眼睑或头面、四肢、全身浮肿，或按之凹陷等为特征的症状。多因外邪侵袭，或劳倦内伤，或饮食失调，使气化不利而水液潴留，泛滥肌肤所致。注： 常见于风水、皮水、石水、正水、肾水、溢饮、脾水、心衰、经行浮肿、子肿等。,
56,白疕,因血热内蕴，或血虚风燥，肌肤失养，复由外感或七情内伤、饮食不节引发所致。临床以皮肤出现大小不等的多形红斑，表面覆盖银白色鳞屑，边界清楚，好发于头皮、四肢伸侧及背部，刮去鳞屑可见点状出血等为特征的皮肤病。,
57,风瘙痒,因风湿热蕴结于肌肤，或血虚风燥，肌肤失养所致。临床以阵发性皮肤剧痒，搔抓形成抓痕、血痂，皮肤干燥、增厚等为特征的皮肤病。,
58,口疮,口腔溃疡，又名“口疮”，是一种常见的口腔黏膜疾病，常出现在口腔内唇、上腭以及舌颊等部位黏膜上，形态呈圆形或椭圆形的疼痛溃疡点。,
