efficacy,name,resource,composition,treatment,indications,alias
理气方-行气,柴胡疏肝散,《证治准绳》,醋陈皮，柴胡，白芍，川芎，香附，麸炒枳壳，炙甘草,疏肝行气，活血止痛,肝郁气滞证。胁肋疼痛，寒热往来，脘腹痞满；舌苔白，脉弦,
理气方-降气,丁香柿蒂汤,《病因脉治》,丁香，柿蒂，人参，生姜,温中益气，降逆止呃,胃气虚寒证。呃逆不止，或恶心呕吐，得热则减，得寒则甚者,.
温里方-温中祛寒,附子理中丸,《太平惠民和剂局方》,炮附片，人参，炮姜，炙甘草，白术,温阳散寒，补气健脾,脾胃虚寒较甚，或脾胃虚寒证。脘腹疼痛，下利清谷，恶心呕吐，畏寒肢冷，或霍乱吐利转筋,与“附子理中汤”(《三因极一病证方论》)为异名同方
温里方-温中祛寒,丁香散,《三因极一病证方论》,丁香，柿蒂，高良姜，炙甘草,温中散寒，降逆止呃,胃寒呃逆证，症见呃声沉缓有力、胸膈胃脘不舒、喜热恶寒、进食少、恶食冷凉、舌苔白、脉迟缓,与“丁香透膈散”（《和剂局方》）为异名同方
治燥方-滋阴润燥,麦门冬汤,《金匮要略》,清半夏，麦冬，甘草，人参，粳米，大枣,清养肺胃，降逆下气,虚热肺痿，肺胃津伤，虚火上炎，咳唾涎沫，气逆而喘咽干口燥；舌干红少苔，脉虚数,
补益方-补气,香砂六君子汤,《古今名医方论》,人参，白术，茯苓，炙甘草，木香，砂仁，姜半夏，陈皮，生姜,益气健脾，行气化痰,脾胃气虚，痰饮内生，呕吐痞闷，不思饮食，消瘦倦怠，或气虚肿满,与砂六君子汤（《张氏医通》）为异名同方
温里方-温中祛寒,理中丸,《伤寒论》,人参，炙甘草，白术，干姜,温中散寒，补气健脾,脾胃虚寒证，或阳虚失血证，或小儿慢惊，或病后喜唾涎沫，或脾胃虚寒所致的胸痹等证,"又名：理中汤。与“人参汤”(《金匮要略》)、“治中汤”(《备急千金要方》)、“理中煎”(《鸡峰普济方》)、“人参理中汤”(《校注妇人良方》)、“四顺理中丸”(《备急千金要方》)、""白术丸""(《圣济总录》)为异名同方"
祛湿方-温化寒湿,茯苓桂枝白术甘草汤,《伤寒论》,茯苓，桂枝，白术，炙甘草,温阳化饮，健脾利湿,中阳不足，痰饮内停证。胸胁支满，目眩心悸，咳而气短；舌苔白滑，脉弦滑,"与“苓桂术甘汤”(《金匮要略》)、“茯苓白术汤”(《伤寒总病论》)、“茯苓散”(《普济方》)、茯苓白术桂枝甘草汤(《伤寒全生集》)、“茯苓桂甘白术汤”(《古今医统大全》)、“茯苓桂术甘草汤”(《医学入门》)、“苓桂汤”(《杏苑生春》)、“苓桂术甘草汤”(《景岳全书》)、“桂苓甘术汤""(《医方集解》)、""桂苓术甘汤”(《证治准绳》)为异名同方"
理气方-降气,小半夏汤,《金匮要略》,法半夏，生姜,化痰散饮，和胃降逆,痰饮咳嗽。痰饮内停，心下痞闷，呕吐不渴，及胃寒呕吐，痰饮咳嗽；舌苔白滑,
清热方-清脏腑热,左金丸,《丹溪心法》,黄连片，吴茱萸,清泻肝火，降逆止呕,肝火犯胃证。胁肋及脘腹胀痛，呕吐口苦，吞酸嘈杂嗳气，口干；舌红苔黄，脉弦数,"与“回令丸”(《丹溪心法》)、""茱连丸”(《医方集解》)为异名同方"
理气方-行气,半夏厚朴汤,《金匮要略》,法半夏，厚朴，紫苏叶，茯苓，生姜,行气散结，降逆化痰,梅核气。咽中如有物阻，咯吐不出，吞咽不下，胸膈满闷，或咳或呕；舌苔白润或白滑，脉弦缓或弦滑,"与""厚朴汤""(《圣济总录》)、“大七气汤”(《三因极一病证方论》)、""四七汤”“厚朴半夏汤”(《易简方》)、“七气汤”(《仁斋直指方论》)、四七饮(《杏苑生春》)为异名同方"
消食方-消食化滞,保和丸,《丹溪心法》,净山楂，六神曲，姜半夏，茯苓，陈皮，连翘，莱菔子,消食和胃,食滞胃脘证。胸脘痞满，腹胀时痛，嗳腐吞酸，恶食或呕吐泄泻；舌苔厚腻或黄，脉滑,
祛湿方-燥湿和胃,藿香正气散,《太平惠民和剂局方》,大腹皮，白芷，紫苏叶，茯苓，白术，半夏曲，陈皮，姜厚朴，桔梗，广藿香，炙甘草,解表化湿，理气和中,外感风寒，内伤湿滞证。发热恶寒，头痛，胸膈满闷脘腹疼痛，恶心呕吐，肠鸣泄泻，舌苔白腻等,
消食方-消食化滞,消乳丸,《婴童百问》,醋香附，炒六神曲，炒麦芽，陈皮，砂仁，炙甘草，生姜,温中快膈，止呕吐，消乳食,小儿伤食不化，呕吐，脉沉者,
和解方-调和肝脾,逍遥散,《太平惠民和剂局方》,柴胡，白术，白芍，炙甘草，当归，茯苓，煨姜，薄荷,疏肝解郁，养血健脾,肝郁血虚脾弱证。五心烦热，或往来寒热，肢体疼痛，头目昏重，心悸颊赤，口燥咽干，胸闷胁痛，减食嗜卧，月经不调，乳房作胀，脉弦而虚,
清热方-清气分热,栀子豉汤,《伤寒论》,栀子，淡豆豉,宣透解郁，泄热除烦,外感热病、邪在气分之轻证。症见身热，心烦不得眠，胸闷不舒，欲呕不得呕；舌红，苔微黄，脉稍数,"与“栀子香豉汤”“香豉栀子汤”(《伤寒总病论》)、“栀子汤”(《圣济总录》)、""加减栀子汤""(《云岐子注脉诀并方》)、""栀子豆豉汤""(《证治准绳》)、""栀豉汤""(《寿世保元》)为异名同方"
和解方-调和肠胃,半夏泻心汤,《伤寒论》,法半夏，黄芩片，黄连片，干姜，人参，大枣，炙甘草,寒热平调，消痞散结,寒热夹杂之痞证。寒热中阻，胃气不和，心下痞满不痛，或干呕，或呕吐，肠鸣下利，舌苔薄黄而腻，脉弦数,
理气方-行气,厚朴温中汤,《内外伤辨惑论》,姜厚朴，陈皮，炙甘草，茯苓，木香，草豆蔻，干姜，生姜,行气除满，温中燥湿,脾胃寒湿气滞证。脘腹胀满，或疼痛，不思饮食，四肢倦怠无力；舌苔白腻，脉沉弦,
祛痰方-化痰熄风,半夏白术天麻汤,《医学心悟》,法半夏，白术，天麻，茯苓，橘红，甘草，生姜，大枣,化痰熄风，健脾祛湿,风痰上扰证。头昏眩晕，恶心呕吐，胸膈痞闷；舌苔白腻，脉弦滑,