name,code,resource,herbs,part,slice,prepmethods,alias
苦丁茶,6158520700300005,冬青科,苦丁茶,叶,nan,nan,nan
昆明山海棠,6158610100203003,卫矛科,昆明山海棠,根,厚片,nan,nan
雷公藤,6158610300103004,卫矛科,雷公藤,根及根茎,厚片,nan,nan
扶芳藤,6158650500103008,卫矛科,扶芳藤,地上部分,厚片,nan,nan
鬼箭羽,6158690900100009,卫矛科,鬼箭羽,茎的翅状物,nan,nan,nan
桑芽炭,6159120700100422,槭树科,桑芽,嫩芽,nan,煅炭,青桑炭
蝴蝶果,6159140200100005,槭树科,蝴蝶果,成熟果实,nan,nan,红蝴蝶
无患子根,6159310100103004,无患子科,无患子根,根,厚片或段,nan,木患根
桂圆核,6159340600200002,无患子科,桂圆核,种子,nan,nan,龙眼核
石钻子,615941010010300,清风藤科,石钻子,根,厚片,nan,铁牛石钻、钻石风
凤仙透骨草,6159520900104006,凤仙花科,凤仙透骨草,茎,段,nan,nan
铁包金,6159610100104002,鼠李科,铁包金,根,段,nan,nan
翼核果根,6159610100203002,鼠李科,翼核果根,根,厚片或段,nan,nan
血风藤,6159620900103006,鼠李科,血风藤,茎,厚片,nan,血枫藤、青藤、青筋藤、铁牛入石
蜜枣,6159640200100352,鼠李科,大枣,果实,破开或去核,蜜炙,nan
枳棋子,6159640600200003,鼠李科,枳棋子,成熟种子,nan,nan,nan
蛇葡萄,6159710300103000,葡萄科,蛇葡萄,根及根茎,厚片,nan,蛇葡萄根、野葡萄根
安痛藤,6159720100103001,葡萄科,安痛藤,藤茎,厚片,nan,nan
山葡萄,6159721200104004,葡萄科,山葡萄,茎和叶,段,nan,nan
三叶青,6159750100103008,葡萄科,三叶青,全草,块根切片，茎叶切段,nan,nan
木槿皮,6160020500100003,锦葵科,木槿皮,树皮,nan,nan,川槿皮
木芙蓉花,6160030200100005,锦葵科,木芙蓉花,花,nan,nan,nan
木槿花,6160030200200002,锦葵科,木槿花,花,nan,nan,nan
黄花稔,6160050100104002,锦葵科,黄花稔,全草,段,nan,梅肉草
磨盘草,6160050100204009,锦葵科,磨盘草,全草,段,nan,nan
地桃花,6160050500104008,锦葵科,地桃花,地上部分,段,nan,千下锤
广东海桐皮,616012050010300,木棉科,广东海桐皮,树皮,厚片,nan,木棉皮、木棉树皮、广海桐皮
半枫荷,6160210100103003,梧桐科,半枫荷,根,厚片,nan,nan
山芝麻,6160240200103009,梧桐科,山芝麻,根,厚片,nan,nan
猕猴桃根,6160410100203004,猕猴桃科,猕猴桃根,根,厚片,nan,藤梨根
猫人参,6160410300103005,猕猴桃科,猫人参,根及粗茎,厚片,nan,nan
茶叶,6160620700100003,山茶科,茶叶,嫩叶或嫩芽经加工制成,nan,nan,青茶、绿茶、绿茶叶
金花茶,6160620700300007,山茶科,金花茶,叶,nan,nan,nan
地耳草,616075010010400,藤黄科,地耳草,全草,段,nan,田基黄
红旱莲,6160750500204004,藤黄科,红旱莲,地上部分,段,nan,黄海棠
生藤黄,6160790200100008,藤黄科,藤黄,树干渗出的树脂,nan,nan,nan
制藤黄,616079020010799,藤黄科,藤黄,树干渗出的树脂,颗粒及粉末,溶解过滤浓缩干燥,nan
大风子仁,6161540500100005,大风子科,大风子仁,种仁,nan,nan,nan
大风子,6161540600100004,大风子科,大风子,成熟种子,nan,nan,大枫子
红天葵,6162010800200006,秋海棠科,红天葵,球茎或全株,nan,nan,红水葵
了哥王,6162310100103008,瑞香科,了哥王,根或根茎,厚片,nan,nan
祖师麻,6162320600104009,瑞香科,祖师麻,茎皮及根皮,段,nan,nan
胡颓子根,6162410100103005,胡颓子科,胡颓子根,根,厚片,nan,nan
胡颓子叶,6162420700100007,胡颓子科,胡颓子叶,叶,nan,nan,羊奶奶叶、棋糊
喜树果,6163140200100008,珙桐科,喜树果,成熟果实,nan,nan,nan
八角枫,6163210200104006,八角枫科,八角枫,侧根或细须根,段,nan,nan
炒诃子肉,6163340200300112,使君子科,诃子肉,果实,去核,炒黄,炒诃黎勒
煨诃子肉,6163340200300808,使君子科,诃子,果实,去核,煨,煨诃黎勒
桃金娘根,616341010010400,桃金娘科,桃金娘根,根,段,nan,岗稔根、山稔根
土槿皮,6163420500100008,桃金娘科,土槿皮,树皮,nan,nan,广东土槿皮、广土槿皮、水翁树皮、水榕树皮
番石榴叶,6163420700100006,桃金娘科,番石榴叶,叶,nan,nan,nan
大叶桉,616342070020400,桃金娘科,大叶桉,叶,段,nan,大叶桉叶、桉叶
直杆蓝桉,6163421200304000,桃金娘科,直杆蓝桉,叶及嫩枝,段,nan,nan
水翁花,6163430300200006,桃金娘科,水翁花,花蕾,nan,nan,nan
番石榴果,6163440100100000,桃金娘科,番石榴果,未成熟果实,nan,nan,nan
岗稔子,6163440200200006,桃金娘科,岗稔子,成熟果实,nan,nan,nan
野牡丹根,6163510100204005,野牡丹科,野牡丹根,根,段,nan,nan
地稔,6163550100104004,野牡丹科,地稔,全草,段,nan,nan
金锦香,6163550100204001,野牡丹科,金锦香,全草,段,nan,天香炉、天香芦、硬地丁、金石榴
水龙,6163750100104008,柳叶菜科,水龙,全草,段,nan,过塘蛇
红参须,6164210100300606,五加科,红参须,须根,nan,nan,nan
三七片,6164210300202007,五加科,三七片,根及根茎,薄片,nan,三七、田七、田山七、参三七
白半枫荷,6164210300404005,五加科,白半枫荷,根及茎,段,nan,nan
鸭脚木皮,6164220500106005,五加科,鸭脚木皮,树皮,丝,nan,鸭脚皮、鸭脚木
川加皮,6164220500206002,五加科,川加皮,茎皮,块或丝,nan,红毛五加皮
想木,6164220600203000,五加科,想木,根皮,厚片,nan,刺江亩
汉桃叶,6164221200104001,五加科,汉桃叶,带叶茎枝,段,nan,七叶莲
三七花,6164230200100005,五加科,三七花,花,nan,nan,nan
蒸北沙参,6164310100104607,伞形科,北沙参,根,段,蒸,蒸北条参
炒当归,6164310100302119,伞形科,当归,根,薄片,清炒,nan
土炒当归,6164310100302263,伞形科,当归,根,薄片,土炒,nan
当归炭,6164310100302416,伞形科,当归,根,薄片,炒炭,土炒当归
酒洗当归,6164310100302911,伞形科,当归,根,薄片,酒洗,nan
当归尾,6164310100402000,伞形科,当归,支根,薄片,nan,nan
防风炭,6164310100503417,伞形科,防风,根,厚片,炒炭,关防风炭、北防风炭
酒柴胡,6164310100903316,伞形科,柴胡,根,厚片,酒炙,nan
鳖血柴胡,6164310100903392,伞形科,柴胡,根,厚片,鳖血炙,nan
香白芷,6164310101203002,伞形科,香白芷,根,厚片,nan,过山香
竹叶柴胡,6164310101303009,伞形科,竹叶柴胡,根,厚片,nan,nan
当归身,6164310101402009,伞形科,当归,根,薄片,nan,nan
酒川芎,6164310500103316,伞形科,川芎,根茎,厚片,酒炙,酒芎穷
芹菜子,6164340200400002,伞形科,芹菜子,成熟果实,nan,nan,nan
芫荽,6164350100204006,伞形科,芫荽,全草,段,nan,胡荽、香菜
炒山萸肉,6164440400100112,山茱萸科,山茱萸,果肉,nan,炒黄,炒山茱萸
走马胎,617051010010300,紫金牛科,走马胎,根,厚片,nan,nan
小罗伞,6170510100203008,紫金牛科,小罗伞,nan,根或全株,厚片或段,nan
虎舌红,6170550100204001,紫金牛科,虎舌红,nan,全株,段,nan
柿叶,6170920700107000,柿树科,柿叶,nan,叶,碎屑,nan
柿霜,6170990800100003,柿树科,柿霜,nan,加工品,nan,nan
酒安息香,6171190200100316,安息香科,安息香,nan,树脂,nan,酒炙
扭肚藤,6171221200104001,木犀科,扭肚藤,nan,嫩茎及叶,段,nan
茉莉花,6171230200100005,木犀科,茉莉花,nan,花蕾及初开的花,nan,nan
素馨花,6171230300100004,木犀科,素馨花,nan,花蕾,nan,nan
盐女贞子,6171240200100332,木犀科,女贞子,nan,果实,nan,盐炙
连翘心,6171240600100000,木犀科,连翘心,nan,种子,nan,nan
钩吻,6171310100100005,马钱科,钩吻,nan,根,nan,nan
油炙马钱子,6171340600100366,马钱科,马钱子,nan,种子,nan,油炙
尿制马钱子,6171340600100991,马钱科,马钱子,nan,种子,nan,尿制
酒龙胆,6171410300104312,龙胆科,龙胆,nan,根和根茎,段,酒炙
肺形草,6171450100404007,龙胆科,肺形草,nan,全草,段,nan
羊角拗,6171510300100007,夹竹桃,羊角拗,nan,根及茎,nan,nan
夹竹桃,6171520700207008,夹竹桃科,夹竹桃,nan,叶,碎屑,nan
鸡蛋花,6171530200100006,夹竹桃科,鸡蛋花,nan,花,nan,nan
春根藤,6171550100104003,夹竹桃科,春根藤,nan,全草及根,段,nan
炒白前,6171610300104118,萝摩科,白 前,nan,根和根茎,段,清炒
牛皮冻,6171610400103004,萝摩科,牛皮冻,nan,块根,厚片,nan
天浆壳,6171640400100000,萝摩科,天浆壳,nan,果壳,nan,nan
炒菟丝子,6171740600200118,旋花科,菟丝子,nan,成熟种子,nan,炒黄
酒菟丝子饼,6171740600200613,旋花科,菟丝子,nan,种子,nan,酒蒸
菟丝草,6171750500104003,旋花科,菟丝草,nan,地上部分,段,nan
滇紫草,617202060010200,紫草科,滇紫草,nan,根部栓皮,薄片,nan
裸花紫珠,6172120700507000,马鞭草科,裸花紫珠,nan,叶,碎屑,nan
牡荆子,6172140200200003,马鞭草科,牡荆子,nan,成熟果实,nan,nan
黄荆子,6172140200300000,马鞭草科,黄荆子,nan,果实,nan,nan
五指柑,6172150100104004,马鞭草科,五指柑,全草,段,nan,nan
独角球,6172150100204001,马鞭草科,独角球,全草,段,nan,兰香草、独脚球、八宝塔
白花灯笼,6172150100304008,马鞭草科,白花灯笼,根或全株,段,nan,山顶企、苦灯笼、鬼灯笼、白花鬼灯笼
紫珠,6172150500204007,马鞭草科,紫珠,地上部分,段,nan,nan
炒黄芩,6172210100102117,唇形科,黄芩,根,薄片,炒黄,炒子芩、炒枯芩
黄芩炭,6172210100102414,唇形科,黄芩,根,薄片,炒炭,子芩炭、枯芩炭
炒丹参,6172210300103112,唇形科,丹参,根和根茎,厚片,炒黄,炒紫丹参、炒赤丹参
猪心血拌丹参,6172210300103990,唇形科,丹参,根和根茎,厚片,猪心血拌,猪心血拌紫丹参、猪心血拌赤丹参
蜜苏子,6172240200200352,唇形科,苏子,果实,nan,蜜炙,蜜紫苏子
苏子霜,6172240200200833,唇形科,苏子,果实,nan,制霜,紫苏子霜
牛至,6172250100504009,唇形科,牛至,全草,段,nan,nan
向天盏,6172250100604006,唇形科,向天盏,全草,段,nan,韩信草、虎咬红
凉粉草,6172250100704003,唇形科,凉粉草,全草,段,nan,nan
炒荆芥,6172250500404114,唇形科,荆芥,地上部分,段,炒黄,nan
酒益母草,6172250500604316,唇形科,益母草,地上部分,段,酒炙,nan
醋益母草,6172250500604323,唇形科,益母草,地上部分,段,醋炙,nan
溪黄草,6172250501100008,唇形科,溪黄草,地上部分,nan,nan,nan
石见穿,6172250501204003,唇形科,石见穿,地上部分,段,nan,nan
肾茶,6172250501504004,唇形科,肾茶,地上部分,段,nan,猫须茶
茄根,6172310300100002,茄科,茄根,根和茎,nan,nan,茄子根、白茄根
丁茄根,6172310300203000,茄科,丁茄根,根及老茎,厚片,nan,金钮扣
炒枸杞子,6172340200200113,茄科,枸杞子,果实,nan,炒黄,炒枸杞、炒甘枸杞
酒蒸枸杞,6172340200200618,茄科,枸杞子,果实,nan,酒蒸,酒蒸枸杞子、酒蒸甘枸杞
龙葵果,6172340200400001,茄科,龙葵果,近成熟果实,nan,nan,nan
白 英,6172350100204005,茄科,白 英,全草,段,nan,nan
龙葵,6172350500104004,茄科,龙葵,地上部分,段,nan,nan
盐玄参,6172410100102333,玄参科,玄参,根,薄片,盐炙,盐元参
酒地黄,6172410400103313,玄参科,地黄,块根,厚片,酒炙,nan
地黄炭,6172410400103412,玄参科,地黄,块根,厚片,炒炭,生地炭
炊地黄,6172410400103818,玄参科,地黄,块根,厚片,炊,nan
熟地炭,6172410400103948,玄参科,地黄,块根,厚片,酒炖后炒炭,熟地黄炭
独脚金,6172450100404006,玄参科,独脚金,全草,段,nan,nan
鬼羽箭,6172450100504003,玄参科,鬼羽箭,全草,段,nan,nan
毛麝香,6172450100604000,玄参科,毛麝香,全草,段,nan,蓝花草、酒子草
水芙蓉,6172450100704007,玄参科,水芙蓉,全草,段,nan,nan
冰糖草,6172450100804004,玄参科,冰糖草,全草,段,nan,野甘草
鹿茸草,6172450100904001,玄参科,鹿茸草,全草,段,nan,nan
穿心莲叶,6173120700104000,爵床科,穿心莲叶,叶,段,nan,nan
南大青叶,6173120700204007,爵床科,南大青叶,叶,段,nan,nan
狗肝菜,6173150100104003,爵床科,狗肝菜,全草,段,nan,nan
爵床,6173150100204000,爵床科,爵床,全草,段,nan,疳积草
大驳骨,6173150500304003,爵床科,大驳骨,地上部分,段,nan,nan
炒车前子,6173440600100118,车前科,车前子,成熟种子,nan,炒黄,nan
酒车前子,6173440600100316,车前科,车前子,种子,nan,酒炙,nan
酒巴戟天,6173510100104319,茜草科,巴戟天,根,段,酒炙,nan
水杨梅根,6173510100203005,茜草科,水杨梅根,根,厚片或段,nan,水高丽
胆木,6173510300203003,茜草科,胆木,茎干及根,厚片,nan,乌檀
醋红大戟,6173510400103326,茜草科,红大戟,块根,厚片,醋炙,醋京大戟
羊角藤,6173510500100003,茜草科,羊角藤,根及藤茎,nan,nan,节节花
山大颜,6173521200207008,茜草科,山大颜,叶及嫩枝,碎屑,nan,nan
蔓九节,6173521200304004,茜草科,蔓九节,带叶茎枝,段,nan,广东络石藤、穿根藤
姜栀子,6173540200107347,茜草科,栀子,果实,碎块,姜炙,nan
栀子炭,6173540200107415,茜草科,栀子,成熟果实,碎块,炒炭,nan
水线草,6173550100100003,茜草科,水线草,全草,nan,nan,nan
白花蛇舌草,6173550100204008,茜草科,白花蛇舌草,全草,段,nan,nan
猪殃殃,6173550100304005,茜草科,猪殃殃,全草,段,nan,nan
六月雪,6173550100403005,茜草科,六月雪,全株,厚片,nan,白马骨
虎刺,6173550100504009,茜草科,虎刺,全株,段,nan,绣花针
黄毛耳草,6173550100604006,茜草科,黄毛耳草,全草,段,nan,nan
牛白藤,6173550100703006,茜草科,牛白藤,全草,厚片或段,nan,nan
鸡矢藤,6173550500104007,茜草科,鸡矢藤,地上部分,段,nan,鸡屎藤
接骨木,6173620200103003,忍冬科,接骨木,茎枝,厚片,nan,扦扦活
金银花叶,6173620700100007,忍冬科,金银花叶,叶,nan,nan,忍冬叶、金银忍冬叶
山银花炭,6173630200100414,忍冬科,山银花,花蕾或带初开的花,nan,炒炭,nan
蜜金银花,6173630200200350,忍冬科,金银花,花蕾或带初开的花,nan,蜜炙,蜜忍冬花、蜜银花、蜜二花、蜜双花
金银花炭,6173630200200411,忍冬科,金银花,花蕾或带初开的花,nan,炒炭,忍冬花炭、银花炭、二花炭、双花炭
陆英,6173650100104008,忍冬科,陆英,全草,段,nan,八棱麻、接骨草、蒴藿、走马箭、走马风
墓头回,6173810100103009,败酱科,墓头回,根,片,nan,nan
败酱草,6173850100104002,败酱科,败酱草,全草,段,nan,nan
蜜瓜萎,6174040200105354,葫芦科,瓜萎,果实,丝或块,蜜炙,蜜全瓜萎、蜜栝楼
苦瓜干,6174040200400008,葫芦科,苦瓜干,近成熟果实,nan,nan,苦瓜、癞葡萄
丝瓜,6174040200704007,葫芦科,丝瓜,果实,段,nan,nan
西瓜皮,6174040400405001,葫芦科,西瓜皮,果皮,块,nan,西瓜翠、西瓜翠衣
葫芦,6174040400502007,葫芦科,葫芦,果皮,薄片,nan,抽葫芦、葫芦壳
丝瓜皮,6174040400604008,葫芦科,丝瓜皮,果皮,段,nan,nan
甜瓜蒂,6174040500500002,葫芦科,甜瓜蒂,果柄,nan,nan,瓜蒂、苦丁香
蜜瓜萎子,6174040600200352,葫芦科,瓜萎子,种子,nan,蜜炙,蜜瓜萎仁、蜜栝楼子、蜜栝楼仁
瓜萎子霜,6174040600200833,葫芦科,瓜萎子,种子,nan,制霜,瓜萎仁霜、栝楼子霜、栝楼仁霜
冬瓜子,6174040600400004,葫芦科,冬瓜子,成熟种子,nan,nan,nan
炒冬瓜子,6174040600400110,葫芦科,冬瓜子,种子,nan,炒黄,nan
南瓜子,617404060050000,葫芦科,南瓜子,种子,nan,nan,nan
绞股蓝,617405050010400,葫芦科,绞股蓝,地上部分,段,nan,nan
蜜党参,6174110100203358,桔梗科,党参,根,厚片,蜜炙,蜜潞党、蜜台党
四叶参,6174110100403000,桔梗科,四叶参,根,厚片,nan,山海螺、羊乳、羊乳根、奶参
蓝花参,6174150100204009,桔梗科,蓝花参,全草,段,nan,兰花参
酒洗木香,6174410100303912,菊科,木香,根,片,酒洗,酒洗广木香、酒洗云木香
广东土牛膝,6174410100604002,菊科,广东土牛膝,根,段,nan,nan
大蓟根,6174410100703002,菊科,大蓟根,根,厚片,nan,nan
马兰根,6174410300207003,菊科,马兰根,根及根茎,碎品,nan,白马兰根、马兰头根
广升麻,6174410400100006,菊科,广升麻,块根,nan,nan,蓝肉升麻、汝城升麻
焦白术,6174410500203126,菊科,白 术,根茎,厚片,炒焦,nan
土炒白术,6174410500203263,菊科,白 术,根茎,厚片,土炒,nan
白术炭,6174410500203416,菊科,白 术,根茎,厚片,炒炭,nan
制白术,6174410500203607,菊科,白 术,根茎,厚片,蒸,nan
漂白术,6174410500203904,菊科,白 术,根茎,厚片,米泔水漂,nan
炒苍术,6174410500303116,菊科,苍术,根茎,厚片,炒黄,炒茅苍术
漂苍术,617441050030390,菊科,苍术,根茎,厚片,米泔水漂,漂茅苍术
炒艾叶,6174420700100118,菊科,艾叶,叶,去梗,炒黄,nan
醋艾叶,6174420700100323,菊科,艾叶,叶,去梗,醋炙,nan
艾叶炭,6174420700100415,菊科,艾叶,叶,去梗,炒炭,nan
甜叶菊,6174420700300006,菊科,甜叶菊,叶,nan,nan,nan
艾纳香,6174421200204009,菊科,艾纳香,叶及嫩枝,段,nan,nan
菊花炭,6174430100200417,菊科,菊花,头状花序,nan,炒炭,白菊花炭、毫菊炭、杭菊炭、甘菊炭、滁菊炭、贡菊炭
山黄菊,6174430100400008,菊科,山黄菊,头状花序,nan,nan,广东旋覆花
雪莲花,6174430200200003,菊科,雪莲花,全草,nan,nan,nan
白 眉,617445010050400,菊科,白 眉,全草,段,nan,白眉草、毛丁白头翁、一枝香
鼠曲草,6174450100604008,菊科,鼠曲草,全草,段,nan,佛耳草
金盏银盘,6174450100704005,菊科,金盏银盘,全草,段,nan,三叶鬼针草
螭螃草,6174450100804002,菊科,螭螃草,全草,段,nan,nan
一点红,6174450100904009,菊科,一点红,全草,段,nan,羊蹄草
地胆草,6174450101104002,菊科,地胆草,全草,段,nan,nan
马兰草,6174450101204009,菊科,马兰草,全草,段,nan,鸡儿肠、马兰、鱼鳅串
夜香牛,6174450101304006,菊科,夜香牛,全草,段,nan,nan
蛤爪草,6174450101404003,菊科,蛤爪草,全草,段,nan,鹿角草
鲜牛劳草,6174450101908006,菊科,鲜牛劳草,全草,鲜药,nan,nan
鬼针草,6174450501604003,菊科,鬼针草,地上部分,段,nan,婆婆针、狼把草
刘寄奴,6174450501704000,菊科,刘寄奴,地上部分,段,nan,鸭脚艾
五月艾,6174450501804007,菊科,五月艾,地上部分,段,nan,nan
苍耳草,6174450501904004,菊科,苍耳草,地上部分,段,nan,虱母头、白花虱母头
六棱菊,6174450502004000,菊科,六棱菊,地上部分或全草,段,nan,nan
炒蒲黄,6190130500100116,香蒲科,蒲黄,花粉,nan,炒黄,nan
露兜筋,6190210300104009,露兜树科,露兜筋,根及根茎,段或块,nan,露兜根
酒三棱,6190310600102313,黑三棱科,三棱,块茎,薄片,酒炙,酒黑三棱、酒京三棱、酒荆三棱
麸炒泽泻,6190810600103216,泽泻科,泽泻,块茎,厚片,麸炒,nan
糯稻根,6191210100103003,禾本科,糯稻根,根及茎基,厚片,nan,nan
炒白茅根,6191210500104112,禾本科,白茅根,根茎,段,清炒,炒茅根
竹心,6191220700200002,禾本科,竹心,卷而未放的幼叶,nan,nan,竹叶卷心、竹卷心
苦竹叶,6191220700300009,禾本科,苦竹叶,嫩叶,nan,nan,nan
麸炒竹茹,6191220900104216,禾本科,竹茹,茎秆的干燥中间层,段或小团,麸炒,nan
苇茎,6191220900204008,禾本科,苇茎,茎,段,nan,苇根
玉米须,6191230100100000,禾本科,玉米须,花柱和柱头,nan,nan,nan
茅针花,6191230700100004,禾本科,茅针花,花穗,nan,nan,茅根花
浮小麦,6191240200100008,禾本科,浮小麦,轻浮瘪瘦果实,nan,nan,nan
炒浮小麦,6191240200100114,禾本科,浮小麦,轻浮瘪瘦果实,nan,炒黄,nan
小麦,6191240200200005,禾本科,小麦,成熟果实,nan,nan,淮小麦
玉米心,6191240200303003,禾本科,玉米心,果序轴,厚片,nan,玉米芯
大麦,6191240200400009,禾本科,大麦,果实,nan,nan,nan
炒薏苡仁,6191240500100111,禾本科,薏苡仁,种仁,nan,炒黄,炒薏苡、炒苡仁、炒苡米
土炒薏苡仁,6191240500100265,禾本科,薏苡仁,种仁,nan,土炒,土炒薏苡、土炒苡仁、土炒苡米
陈仓米,6191240500200002,禾本科,陈仓米,种仁,nan,nan,nan
糯米,6191240500500003,禾本科,糯米,种仁,nan,nan,nan
炒糯米,6191240500500119,禾本科,糯米,种仁,nan,炒黄,nan
粳米,6191240600100004,禾本科,粳米,种子,nan,nan,nan
牛筋草,6191250100107007,禾本科,牛筋草,全草,碎屑,nan,nan
香茅草,6191250500104002,禾本科,香茅草,地上部分,段,nan,nan
麦芽炭,6191290800200417,禾本科,麦芽,加工品,nan,炒炭,nan
麦芽曲,6191290800200875,禾本科,麦芽,加工品,nan,发酵,nan
麸炒麦芽,6191290800200943,禾本科,麦芽,加工品,nan,发芽、麸炒,nan
甘蔗滓,6191290800400008,禾本科,甘蔗滓,茎秆经榨出蔗汁后的干燥渣滓,nan,nan,nan
鲜竹沥,6191290900208009,禾本科,鲜竹沥,鲜杆中的液体,鲜药,nan,nan
酒香附,6191310500103310,莎草科,香附,根茎,厚片或碾碎,酒炙,nan
香附炭,6191310500103419,莎草科,香附,根茎,厚片或碾碎,炒炭,nan
四制香附,6191310500103990,莎草科,香附,根茎,厚片或碾碎,姜汁、盐水、酒、醋制,nan
蒲葵子,6191440200102006,棕榈科,蒲葵子,成熟果实,nan,nan,葵树子
